,year,occupation,major_category,minor_category,total_workers,workers_male,workers_female,percent_female,total_earnings,total_earnings_male,total_earnings_female,wage_percent_of_male
1787,2016,First-line supervisors of food preparation and serving workers,Service,Food Preparation and Serving Related,409285,190025,219260,53.57147220152216,25713,29657.0,22979.0,77.4825504939812
1788,2016,Cooks,Service,Food Preparation and Serving Related,1201892,775087,426805,35.51109417485098,21756,22575.0,20320.0,90.0110741971207
1789,2016,Food preparation workers,Service,Food Preparation and Serving Related,347692,155856,191836,55.17411962311471,20506,21359.0,19894.0,93.14106465658504
1790,2016,Bartenders,Service,Food Preparation and Serving Related,226847,115120,111727,49.252139106975186,29375,31277.0,26017.0,83.18253029382612
1791,2016,"Combined food preparation and serving workers, including fast food",Service,Food Preparation and Serving Related,141425,52096,89329,63.163514230157325,20518,20728.0,20369.0,98.26804322655346
1792,2016,"Counter attendants, cafeteria, food concession, and coffee shop",Service,Food Preparation and Serving Related,32438,12016,20422,62.95702571058635,19179,21885.0,17398.0,79.49737262965502
1793,2016,Waiters and waitresses,Service,Food Preparation and Serving Related,734635,263439,471196,64.14015123156396,22252,25855.0,21182.0,81.9261264745697
1794,2016,"Food servers, nonrestaurant",Service,Food Preparation and Serving Related,76030,28696,47334,62.25700381428385,24489,27481.0,23021.0,83.77060514537317
1795,2016,Dining room and cafeteria attendants and bartender helpers,Service,Food Preparation and Serving Related,91150,56105,35045,38.44761382336807,21276,22449.0,18832.0,83.88792373825115
1796,2016,Dishwashers,Service,Food Preparation and Serving Related,110513,91810,18703,16.923800819813053,19808,19848.0,19550.0,98.49858927851672
1797,2016,"Hosts and hostesses, restaurant, lounge, and coffee shop",Service,Food Preparation and Serving Related,46117,7311,38806,84.14684389704449,19751,22335.0,19022.0,
1798,2016,"Food preparation and serving related workers, all other",Service,Food Preparation and Serving Related,4658,2844,1814,38.943752683555175,20199,20559.0,19202.0,
1799,2016,First-line supervisors of housekeeping and janitorial workers,Service,Building and Grounds Cleaning and Maintenance,173482,117566,55916,32.23158598586597,36399,41024.0,28875.0,70.38562792511699
1800,2016,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",Service,Building and Grounds Cleaning and Maintenance,128673,121311,7362,5.721480030775688,40635,40774.0,36184.0,88.74282631088438
1801,2016,Janitors and building cleaners,Service,Building and Grounds Cleaning and Maintenance,1553626,1136790,416836,26.82988055040273,27742,30654.0,22962.0,74.90702681542376
1802,2016,Maids and housekeeping cleaners,Service,Building and Grounds Cleaning and Maintenance,790133,128212,661921,83.77336473732903,21476,25788.0,21000.0,81.43322475570031
1803,2016,Pest control workers,Service,Building and Grounds Cleaning and Maintenance,68409,65344,3065,4.480404625122426,37802,37805.0,37420.0,
1804,2016,Grounds maintenance workers,Service,Building and Grounds Cleaning and Maintenance,802064,762329,39735,4.954093438927567,25708,25838.0,22944.0,88.79944268132208
1805,2016,First-line supervisors of gaming workers,Service,Personal Care and Service,18772,11389,7383,39.32985297251225,45671,50429.0,41069.0,81.43925122449384
1806,2016,First-line supervisors of personal service workers,Service,Personal Care and Service,74093,25605,48488,65.44207954867531,32240,41425.0,30569.0,73.79360289680146
1807,2016,Animal trainers,Service,Personal Care and Service,29055,14018,15037,51.753570813973504,29978,34134.0,26578.0,77.86371359934377
1808,2016,Nonfarm animal caretakers,Service,Personal Care and Service,120981,34640,86341,71.36740479910068,25210,30133.0,23724.0,78.73095941326784
1809,2016,Gaming services workers,Service,Personal Care and Service,61881,34548,27333,44.17026227759733,39726,41137.0,36013.0,87.54406009188807
1810,2016,Motion picture projectionists,Service,Personal Care and Service,1303,1065,238,18.2655410590944,48374,49900.0,21932.0,
1811,2016,"Ushers, lobby attendants, and ticket takers",Service,Personal Care and Service,6511,3855,2656,40.79250499155276,28929,30020.0,27430.0,
1812,2016,Miscellaneous entertainment attendants and related workers,Service,Personal Care and Service,57391,31464,25927,45.17607290341692,25263,27418.0,21946.0,80.04230797286455
1813,2016,Embalmers and funeral attendants,Service,Personal Care and Service,6580,5293,1287,19.55927051671733,29048,28629.0,29681.0,
1814,2016,"Morticians, undertakers, and funeral directors",Service,Personal Care and Service,30549,22471,8078,26.442764083930737,51310,52119.0,42161.0,80.89372397781999
1815,2016,Barbers,Service,Personal Care and Service,68864,56579,12285,17.83950975836432,25416,26320.0,21195.0,80.52811550151976
1816,2016,"Hairdressers, hairstylists, and cosmetologists",Service,Personal Care and Service,447533,52211,395322,88.33359774586454,26146,31601.0,25636.0,81.12401506281445
1817,2016,Miscellaneous personal appearance workers,Service,Personal Care and Service,206248,34993,171255,83.03353244637523,23474,26356.0,22777.0,86.42054940051601
1818,2016,"Baggage porters, bellhops, and concierges",Service,Personal Care and Service,60412,47690,12722,21.05873005363173,31604,33549.0,27122.0,80.84294613848402
1819,2016,Tour and travel guides,Service,Personal Care and Service,18870,11893,6977,36.9740328563858,30693,31305.0,29836.0,
1820,2016,Childcare workers,Service,Personal Care and Service,551286,34354,516932,93.76838882177307,21395,25324.0,21212.0,83.76243879323961
1821,2016,Personal care aides,Service,Personal Care and Service,692735,132541,560194,80.86699820277596,22578,25856.0,22159.0,85.70157797029701
1822,2016,Recreation and fitness workers,Service,Personal Care and Service,184743,79514,105229,56.9596682959571,31582,35050.0,30284.0,86.40228245363765
1823,2016,Residential advisors,Service,Personal Care and Service,26803,10295,16508,61.59012050889826,28627,30144.0,27901.0,92.55904989384291
1824,2016,"Personal care and service workers, all other",Service,Personal Care and Service,73763,37331,36432,49.390615891436084,26185,27148.0,24883.0,91.65684396640637
